Round Number,Date,Type,Invitations,CRS Score
341,"March 21, 2025",French language proficiency (Version 1),"7,500",379
340,"March 17, 2025",Provincial Nominee Program,536,736
339,"March 6, 2025",French language proficiency (Version 1),"4,500",410
338,"March 3, 2025",Provincial Nominee Program,725,667
337,"February 19, 2025",French language proficiency (Version 1),"6,500",428
336,"February 17, 2025",Provincial Nominee Program,646,750
335,"February 5, 2025",Canadian Experience Class,"4,000",521
334,"February 4, 2025",Provincial Nominee Program,455,802
333,"January 23, 2025",Canadian Experience Class,"4,000",527
332,"January 8, 2025",Canadian Experience Class,"1,350",542
331,"January 7, 2025",Provincial Nominee Program,471,793
330,"December 16, 2024",Provincial Nominee Program,"1,085",727
329,"December 3, 2024",French language proficiency (Version 1),800,466
328,"December 2, 2024",Provincial Nominee Program,676,705
327,"November 20, 2024",Healthcare occupations (Version 1),"3,000",463
326,"November 19, 2024",Canadian Experience Class,400,539
325,"November 18, 2024",Provincial Nominee Program,174,816
324,"November 15, 2024",French language proficiency (Version 1),800,478
323,"November 13, 2024",Canadian Experience Class,400,547
322,"November 12, 2024",Provincial Nominee Program,733,812
321,"October 23, 2024",Trade occupations (Version 1),"1,800",433
320,"October 22, 2024",Canadian Experience Class,400,539
319,"October 21, 2024",Provincial Nominee Program,648,791
318,"October 10, 2024",French language proficiency (Version 1),"1,000",444
317,"October 9, 2024",Canadian Experience Class,500,539
316,"October 7, 2024",Provincial Nominee Program,"1,613",743
315,"September 19, 2024",Canadian Experience Class,"4,000",509
314,"September 13, 2024",French language proficiency (Version 1),"1,000",446
313,"September 9, 2024",Provincial Nominee Program,911,732
312,"August 27, 2024",Canadian Experience Class,"3,300",507
311,"August 26, 2024",Provincial Nominee Program,"1,121",694
310,"August 15, 2024",French language proficiency (Version 1),"2,000",394
309,"August 14, 2024",Canadian Experience Class,"3,200",509
308,"August 13, 2024",Provincial Nominee Program,763,690
307,"July 31, 2024",Canadian Experience Class,"5,000",510
306,"July 30, 2024",Provincial Nominee Program,964,686
305,"July 18, 2024",French language proficiency (Version 1),"1,800",400
304,"July 17, 2024",Canadian Experience Class,"6,300",515
303,"July 16, 2024",Provincial Nominee Program,"1,391",670
302,"July 8, 2024",French language proficiency (Version 1),"3,200",420
301,"July 5, 2024",Healthcare occupations (Version 1),"3,750",445
300,"July 4, 2024",Trade occupations (Version 1),"1,800",436
299,"July 2, 2024",Provincial Nominee Program,920,739
298,"June 19, 2024",Provincial Nominee Program,"1,499",663
297,"May 31, 2024",Canadian Experience Class,"3,000",522
296,"May 30, 2024",Provincial Nominee Program,"2,985",676
295,"April 24, 2024",French language proficiency (Version 1),"1,400",410
294,"April 23, 2024",General,"2,095",529
293,"April 11, 2024",STEM occupations (Version 1),"4,500",491
292,"April 10, 2024",General,"1,280",549
291,"March 26, 2024",French language proficiency (Version 1),"1,500",388
290,"March 25, 2024",General,"1,980",524
289,"March 13, 2024",Transport occupations (Version 1),975,430
288,"March 12, 2024",General,"2,850",525
287,"February 29, 2024",French language proficiency (Version 1),"2,500",336
286,"February 28, 2024",General,"1,470",534
285,"February 16, 2024",Agriculture and agri-food occupations (Version 1),150,437
284,"February 14, 2024",Healthcare occupations (Version 1),"3,500",422
283,"February 13, 2024",General,"1,490",535
282,"February 1, 2024",French language proficiency (Version 1),"7,000",365
281,"January 31, 2024",General,730,541
280,"January 23, 2024",General,"1,040",543
279,"January 10, 2024",General,"1,510",546
278,"December 21, 2023",Agriculture and agri-food occupations (Version 1),400,386
277,"December 20, 2023",Transport occupations (Version 1),670,435
276,"December 19, 2023",Trade occupations (Version 1),"1,000",425
275,"December 18, 2023",General,"1,325",542
274,"December 8, 2023",STEM occupations (Version 1),"5,900",481
273,"December 7, 2023",French language proficiency (Version 1),"1,000",470
272,"December 6, 2023",General,"4,750",561
271,"October 26, 2023",Healthcare occupations (Version 1),"3,600",431
270,"October 25, 2023",French language proficiency (Version 1),300,486
269,"October 24, 2023",Provincial Nominee Program,"1,548",776
268,"October 10, 2023",No Program Specified,"3,725",500
267,"September 28, 2023",Agriculture and agri-food occupations (Version 1),600,354
266,"September 27, 2023",French language proficiency (Version 1),500,472
265,"September 26, 2023",No Program Specified,"3,000",504
264,"September 20, 2023",Transport occupations (Version 1),"1,000",435
263,"September 19, 2023",No Program Specified,"3,200",531
262,"August 15, 2023",No Program Specified,"4,300",496
261,"August 3, 2023",Trade occupations (Version 1),"1,500",388
260,"August 2, 2023",French language proficiency (Version 1),800,435
259,"August 1, 2023",No Program Specified,"2,000",517
258,"July 12, 2023",French language proficiency (Version 1),"3,800",375
257,"July 11, 2023",No Program Specified,800,505
256,"July 7, 2023",French language proficiency (Version 1),"2,300",439
255,"July 6, 2023",Healthcare occupations (Version 1),"1,500",463
254,"July 5, 2023",STEM occupations (Version 1),500,486
253,"July 4, 2023",No Program Specified,700,511
252,"June 28, 2023",Healthcare occupations (Version 1),500,476
251,"June 27, 2023",No Program Specified,"4,300",486
250,"June 8, 2023",No Program Specified,"4,800",486
249,"May 24, 2023",No Program Specified,"4,800",488
248,"May 10, 2023",Provincial Nominee Program,589,691
247,"April 26, 2023",No Program Specified,"3,500",483
246,"April 12, 2023",No Program Specified,"3,500",486
245,"March 29, 2023",No Program Specified,"7,000",481
244,"March 23, 2023",No Program Specified,"7,000",484
243,"March 15, 2023",No Program Specified,"7,000",490
242,"March 1, 2023",Provincial Nominee Program,667,748
241,"February 15, 2023",Provincial Nominee Program,699,791
240,"February 2, 2023",Federal Skilled Worker,"3,300",489
239,"February 1, 2023",Provincial Nominee Program,893,733
238,"January 18, 2023",No Program Specified,"5,500",490
237,"January 11, 2023",No Program Specified,"5,500",507
236,"November 23, 2022",No Program Specified,"4,750",491
235,"November 9, 2022",No Program Specified,"4,750",494
234,"October 26, 2022",No Program Specified,"4,750",496
233,"October 12, 2022",No Program Specified,"4,250",500
232,"September 28, 2022",No Program Specified,"3,750",504
231,"September 14, 2022",No Program Specified,"3,250",510
230,"August 31, 2022",No Program Specified,"2,750",516
229,"August 17, 2022",No Program Specified,"2,250",525
228,"August 3, 2022",No Program Specified,"2,000",533
227,"July 20, 2022",No Program Specified,"1,750",542
226,"July 6, 2022",No Program Specified,"1,500",557
225,"June 22, 2022",Provincial Nominee Program,636,752
224,"June 8, 2022",Provincial Nominee Program,932,796
223,"May 25, 2022",Provincial Nominee Program,590,741
222,"May 11, 2022",Provincial Nominee Program,545,753
221,"April 27, 2022",Provincial Nominee Program,829,772
220,"April 13, 2022",Provincial Nominee Program,787,782
219,"March 30, 2022",Provincial Nominee Program,919,785
218,"March 16, 2022",Provincial Nominee Program,924,754
217,"March 2, 2022",Provincial Nominee Program,"1,047",761
216,"February 16, 2022",Provincial Nominee Program,"1,082",710
215,"February 2, 2022",Provincial Nominee Program,"1,070",674
214,"January 19, 2022",Provincial Nominee Program,"1,036",745
213,"January 5, 2022",Provincial Nominee Program,392,808
212,"December 22, 2021",Provincial Nominee Program,746,720
211,"December 10, 2021",Provincial Nominee Program,"1,032",698
210,"November 24, 2021",Provincial Nominee Program,613,737
209,"November 10, 2021",Provincial Nominee Program,775,685
208,"October 27, 2021",Provincial Nominee Program,681,744
207,"October 13, 2021",Provincial Nominee Program,681,720
206,"September 29, 2021",Provincial Nominee Program,761,742
205,"September 15, 2021",Provincial Nominee Program,521,732
204,"September 14, 2021",Canadian Experience Class,"2,000",462
203,"September 1, 2021",Provincial Nominee Program,635,764
202,"August 19, 2021",Canadian Experience Class,"3,000",403
201,"August 18, 2021",Provincial Nominee Program,463,751
200,"August 5, 2021",Canadian Experience Class,"3,000",404
199,"August 4, 2021",Provincial Nominee Program,512,760
198,"July 22, 2021",Canadian Experience Class,"4,500",357
197,"July 21, 2021",Provincial Nominee Program,462,734
196,"July 8, 2021",Canadian Experience Class,"4,500",369
195,"July 7, 2021",Provincial Nominee Program,627,760
194,"June 24, 2021",Canadian Experience Class,"6,000",357
193,"June 23, 2021",Provincial Nominee Program,"1,002",742
192,"June 10, 2021",Canadian Experience Class,"6,000",368
191,"June 9, 2021",Provincial Nominee Program,940,711
190,"May 31, 2021",Canadian Experience Class,"5,956",380
189,"May 26, 2021",Provincial Nominee Program,500,713
188,"May 20, 2021",Canadian Experience Class,"1,842",397
187,"May 13, 2021",Canadian Experience Class,"4,147",401
186,"May 12, 2021",Provincial Nominee Program,557,752
185,"April 29, 2021",Canadian Experience Class,"6,000",400
184,"April 28, 2021",Provincial Nominee Program,381,717
183,"April 16, 2021",Canadian Experience Class,"6,000",417
182,"April 14, 2021",Provincial Nominee Program,266,753
181,"April 1, 2021",Canadian Experience Class,"5,000",432
180,"March 31, 2021",Provincial Nominee Program,284,778
179,"March 18, 2021",Canadian Experience Class,"5,000",449
178,"March 17, 2021",Provincial Nominee Program,183,682
177,"March 8, 2021",Provincial Nominee Program,671,739
176,"February 13, 2021",Canadian Experience Class,"27,332",75
175,"February 10, 2021",Provincial Nominee Program,654,720
174,"January 21, 2021",Canadian Experience Class,"4,626",454
173,"January 20, 2021",Provincial Nominee Program,374,741
172,"January 7, 2021",Canadian Experience Class,"4,750",461
171,"January 6, 2021",Provincial Nominee Program,250,813
170,"December 23, 2020",No Program Specified,"5,000",468
169,"December 9, 2020",No Program Specified,"5,000",469
168,"November 25, 2020",No Program Specified,"5,000",469
167,"November 18, 2020",No Program Specified,"5,000",472
166,"November 5, 2020",No Program Specified,"4,500",478
165,"October 14, 2020",No Program Specified,"4,500",471
164,"September 30, 2020",No Program Specified,"4,200",471
163,"September 16, 2020",No Program Specified,"4,200",472
162,"September 2, 2020",No Program Specified,"4,200",475
161,"August 20, 2020",Canadian Experience Class,"3,300",454
160,"August 19, 2020",Provincial Nominee Program,600,771
159,"August 6, 2020",Federal Skilled Trades,250,415
158,"August 5, 2020",No Program Specified,"3,900",476
157,"July 23, 2020",Canadian Experience Class,"3,343",445
156,"July 22, 2020",Provincial Nominee Program,557,687
155,"July 8, 2020",No Program Specified,"3,900",478
154,"June 25, 2020",Canadian Experience Class,"3,508",431
153,"June 24, 2020",Provincial Nominee Program,392,696
152,"June 11, 2020",Canadian Experience Class,"3,559",437
151,"June 10, 2020",Provincial Nominee Program,341,743
150,"May 28, 2020",Canadian Experience Class,"3,515",440
149,"May 27, 2020",Provincial Nominee Program,385,757
148,"May 14, 2020",Canadian Experience Class,"3,371",447
147,"May 13, 2020",Provincial Nominee Program,529,718
146,"April 30, 2020",Canadian Experience Class,"3,311",452
145,"April 29, 2020",Provincial Nominee Program,589,692
144,"April 16, 2020",Canadian Experience Class,"3,782",455
143,"April 15, 2020",Provincial Nominee Program,118,808
142,"April 9, 2020",Canadian Experience Class,"3,294",464
141,"April 9, 2020",Provincial Nominee Program,606,698
140,"March 23, 2020",Canadian Experience Class,"3,232",467
139,"March 18, 2020",Provincial Nominee Program,668,720
138,"March 4, 2020",No Program Specified,"3,900",471
137,"February 19, 2020",No Program Specified,"4,500",470
136,"February 5, 2020",No Program Specified,"3,500",472
135,"January 22, 2020",No Program Specified,"3,400",471
134,"January 8, 2020",No Program Specified,"3,400",473
133,"December 19, 2019",No Program Specified,"3,200",469
132,"December 11, 2019",No Program Specified,"3,200",472
131,"November 27, 2019",No Program Specified,"3,600",471
130,"November 13, 2019",No Program Specified,"3,600",472
129,"October 30, 2019",No Program Specified,"3,900",475
128,"October 16, 2019",Federal Skilled Trades,500,357
127,"October 2, 2019",No Program Specified,"3,900",464
126,"September 18, 2019",No Program Specified,"3,600",462
125,"September 4, 2019",No Program Specified,"3,600",463
124,"August 20, 2019",No Program Specified,"3,600",457
123,"August 12, 2019",No Program Specified,"3,600",466
122,"July 24, 2019",No Program Specified,"3,600",459
121,"July 10, 2019",No Program Specified,"3,600",460
120,"June 26, 2019",No Program Specified,"3,350",462
119,"June 12, 2019",No Program Specified,"3,350",465
118,"May 29, 2019",No Program Specified,"3,350",470
117,"May 15, 2019",Federal Skilled Trades,500,332
116,"May 1, 2019",No Program Specified,"3,350",450
115,"April 17, 2019",No Program Specified,"3,350",451
114,"April 3, 2019",No Program Specified,"3,350",451
113,"March 20, 2019",No Program Specified,"3,350",452
112,"March 6, 2019",No Program Specified,"3,350",454
111,"February 20, 2019",No Program Specified,"3,350",457
110,"January 30, 2019",No Program Specified,"3,350",438
109,"January 23, 2019",No Program Specified,"3,900",443
108,"January 9, 2019",No Program Specified,"3,900",449
107,"December 19, 2018",No Program Specified,"3,900",439
106,"December 12, 2018",No Program Specified,"3,900",445
105,"November 28, 2018",No Program Specified,"3,900",445
104,"November 14, 2018",No Program Specified,"3,900",449
103,"October 29, 2018",No Program Specified,"3,900",442
102,"October 15, 2018",No Program Specified,"3,900",440
101,"October 3, 2018",No Program Specified,"3,900",445
100,"September 24, 2018",Federal Skilled Trades,400,284
99,"September 19, 2018",No Program Specified,"3,500",441
98,"September 5, 2018",No Program Specified,"3,900",440
97,"August 22, 2018",No Program Specified,"3,750",440
96,"August 8, 2018",No Program Specified,"3,750",440
95,"July 25, 2018",No Program Specified,"3,750",441
94,"July 11, 2018",No Program Specified,"3,750",442
93,"June 25, 2018",No Program Specified,"3,750",442
92,"June 13, 2018",No Program Specified,"3,750",451
91b,"May 30, 2018",Provincial Nominee Program,200,902
91a,"May 30, 2018",Federal Skilled Trades,500,288
90,"May 23, 2018",No Program Specified,"3,500",440
89,"May 9, 2018",No Program Specified,"3,500",441
88,"April 25, 2018",No Program Specified,"3,500",441
87,"April 11, 2018",No Program Specified,"3,500",444
86,"March 26, 2018",No Program Specified,"3,000",446
85,"March 14, 2018",No Program Specified,"3,000",456
84,"February 21, 2018",No Program Specified,"3,000",442
83,"February 7, 2018",No Program Specified,"3,000",442
82,"January 24, 2018",No Program Specified,"2,750",444
81,"January 10, 2018",No Program Specified,"2,750",446
80,"December 20, 2017",No Program Specified,"2,750",446
79,"December 6, 2017",No Program Specified,"2,750",452
78,"November 15, 2017",No Program Specified,"2,750",439
77,"November 8, 2017",No Program Specified,"2,000",458
76,"November 1, 2017",Federal Skilled Trades,505,241
75,"November 1, 2017",Provincial Nominee Program,290,673
74,"October 18, 2017",No Program Specified,"2,757",436
73,"October 4, 2017",No Program Specified,"2,801",438
72,"September 20, 2017",No Program Specified,"2,871",433
71,"September 6, 2017",No Program Specified,"2,772",435
70,"August 23, 2017",No Program Specified,"3,035",434
69,"August 9, 2017",No Program Specified,"2,991",433
68,"August 2, 2017",No Program Specified,"3,264",441
67,"July 12, 2017",No Program Specified,"3,202",440
66,"June 28, 2017",No Program Specified,"3,409",449
65,"May 31, 2017",No Program Specified,"3,877",413
64,"May 26, 2017",Federal Skilled Trades,400,199
63,"May 26, 2017",Provincial Nominee Program,143,775
62,"May 17, 2017",No Program Specified,"3,687",415
61,"May 4, 2017",No Program Specified,"3,796",423
60,"April 19, 2017",No Program Specified,"3,665",415
59,"April 12, 2017",No Program Specified,"3,923",423
58,"April 5, 2017",No Program Specified,"3,753",431
57,"March 24, 2017",No Program Specified,"3,749",441
56,"March 1, 2017",No Program Specified,"3,884",434
55,"February 22, 2017",No Program Specified,"3,611",441
54,"February 8, 2017",No Program Specified,"3,644",447
53,"January 25, 2017",No Program Specified,"3,508",453
52,"January 11, 2017",No Program Specified,"3,334",459
51,"January 4, 2017",No Program Specified,"2,902",468
50,"December 22, 2016",No Program Specified,"2,878",475
49,"December 16, 2016",No Program Specified,"1,936",497
48,"November 30, 2016",Provincial Nominee Program,559,786
47,"November 16, 2016",No Program Specified,"2,427",470
46,"November 2, 2016",No Program Specified,"2,080",472
45,"October 19, 2016",No Program Specified,"1,804",475
44,"October 12, 2016",No Program Specified,"1,518",484
43,"September 21, 2016",No Program Specified,"1,288",483
42,"September 7, 2016",No Program Specified,"1,000",491
41,"August 24, 2016",No Program Specified,750,538
40,"August 10, 2016",No Program Specified,754,490
39,"July 27, 2016",No Program Specified,755,488
38,"July 13, 2016",No Program Specified,747,482
37,"June 29, 2016",No Program Specified,773,482
36,"June 15, 2016",No Program Specified,752,488
35,"June 1, 2016",No Program Specified,762,483
34,"May 18, 2016",No Program Specified,763,484
33,"May 6, 2016",No Program Specified,799,534
32,"April 20, 2016",No Program Specified,"1,018",468
31,"April 6, 2016",No Program Specified,954,470
30,"March 23, 2016",No Program Specified,"1,014",470
29,"March 9, 2016",No Program Specified,"1,013",473
28,"February 24, 2016",No Program Specified,"1,484",453
27,"February 10, 2016",No Program Specified,"1,505",459
26,"January 27, 2016",No Program Specified,"1,468",457
25,"January 13, 2016",No Program Specified,"1,518",453
24,"January 6, 2016",No Program Specified,"1,463",461
23,"December 18, 2015",No Program Specified,"1,503",460
22,"December 4, 2015",No Program Specified,"1,451",461
21,"November 27, 2015",No Program Specified,"1,559",472
20,"November 13, 2015",No Program Specified,"1,506",484
19,"October 23, 2015",No Program Specified,"1,502",489
18,"October 2, 2015",No Program Specified,"1,530",450
17,"September 18, 2015",No Program Specified,"1,545",450
16,"September 8, 2015",No Program Specified,"1,517",459
15,"August 21, 2015",No Program Specified,"1,523",456
14,"August 7, 2015",No Program Specified,"1,402",471
13,"July 17, 2015",No Program Specified,"1,581",451
12,"July 10, 2015",No Program Specified,"1,516",463
11,"June 26, 2015",No Program Specified,"1,575",469
10,"June 12, 2015",No Program Specified,"1,501",482
9,"May 22, 2015",No Program Specified,"1,361",755
8,"April 17, 2015",No Program Specified,715,453
7,"April 10, 2015",No Program Specified,925,469
6,"March 27, 2015",No Program Specified,"1,637",453
5,"March 20, 2015",No Program Specified,"1,620",481
4,"February 27, 2015",No Program Specified,"1,187",735
3,"February 20, 2015",Canadian Experience Class,849,808
2,"February 7, 2015",No Program Specified,779,818
1,"January 31, 2015",No Program Specified,779,886
